Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps;date;year_georef;Nom Officiel Commune;Code Officiel Département;Nom Officiel Département;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Nom Officiel Commune / Arrondissement Municipal;Code Officiel Commune
201600016437;2016-05-31T12:45:00+02:00;Vitrolles;2016;05;31;12:45;Plein jour;En agglomération;6;Normale;Sans collision;13;117;13117;EUROPE ( AVENUE DE L' );4342622;0525048;13127;;43.429243, 5.249389;;normale;;Bidirectionnelle;;99;0;35;;35;2;Voie Communale;;En courbe à gauche;Plat;Carrefour aménagé;Sur chaussée;1997,1995;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Casque,Casque;Oui,Oui;;A01;5,1;Passager,Conducteur;;Domicile – travail,Domicile – travail;;;PK ou PR ou numéro d’adresse postale croissant;;;Motocyclette > 125 cm3;;Métropole;;2016;Vitrolles;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Vitrolles;13117
201600016464;2016-06-30T18:00:00+02:00;Les Pennes-mirabeau;2016;06;30;18:00;Plein jour;En agglomération;1;Normale;Deux véhicules – par le coté;13;071;13071;2057, ROUTE NATIONALE 11;4341265;0530227;13170;2057;43.412841, 5.301804;;normale;;Bidirectionnelle;;00;113;0;;0;2;Route Départementale;;Partie rectiligne;Plat;;Sur chaussée;1972,2006,1978;Masculin,Féminin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Blessé;Ceinture,Casque,Casque;Oui,Oui,Oui;;A01,B01;1,2,1;Conducteur,Passager,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant gauche,Côté droit;Tournant A gauche,Sans changement de direction;PK ou PR ou numéro d’adresse postale décroissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VU seul 1,Scooter > 125 cm3;;Métropole;;2016;Les Pennes-Mirabeau;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Les Pennes-Mirabeau;13071
201600016492;2016-08-18T11:00:00+02:00;Les Pennes-mirabeau;2016;08;18;11:00;Plein jour;En agglomération;1;Normale;Sans collision;13;071;13071;COCA COLA (ROND POINT CH;;;13170;;43.41002, 5.30793;;;;A sens unique;;99;0;70;;0;2;Voie Communale;;En courbe à gauche;Plat;;Sur chaussée;1971;Masculin;Se déplaçant;Blessé;Casque;Oui;;A01;1;Conducteur;;Domicile – travail;Côté droit;Changeant de file A droite;PK ou PR ou numéro d’adresse postale croissant;;;Motocyclette > 125 cm3;;;;2016;Les Pennes-Mirabeau;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Les Pennes-Mirabeau;13071
201600016495;2016-08-24T05:45:00+02:00;Vitrolles;2016;08;24;05:45;Crépuscule ou aube;En agglomération;1;Normale;Deux véhicules – par le coté;13;117;13117;COPENHAGUE (RUE DE);;;13127;;43.427701, 5.241845;;normale;;Bidirectionnelle;;99;0;30;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1963,1956;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Utilisation professionnelle;Avant,Arrière droit;Même sens,Tournant A gauche;PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;Motocyclette > 125 cm3,VU seul 1;;;;2016;Vitrolles;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Vitrolles;13117
201600016497;2016-08-26T23:15:00+02:00;Vitrolles;2016;08;26;23:15;Nuit sans éclairage public;En agglomération;1;Normale;Sans collision;13;117;13117;1, EUROCOPTER CD 20;;;13127;1;43.458455, 5.232846;;normale;;A sens unique;;99;0;0;;0;1;Route Départementale;;En courbe à gauche;Plat;;Sur chaussée;1952;Masculin;Se déplaçant;Blessé;Casque;Oui;;A01;1;Conducteur;;;;;;;Glissière béton;Scooter < 50 cm3;;;;2016;Vitrolles;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Vitrolles;13117
201600016515;2016-09-14T09:30:00+02:00;Vitrolles;2016;09;14;09:30;Plein jour;En agglomération;1;Normale;Autre collision;13;117;13117;ROUTE NATIONALE 113-L'AN;4341857;0527369;13127;113;43.476886, 5.228019;;normale;;A sens unique;;99;113;40;;0;0;Route Départementale;;Partie rectiligne;Plat;Bretelle d’échangeur ou de raccordement;Sur chaussée;1967,1961;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Côté droit,Côté gauche;Même sens,Même sens;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;PL > 3,VL seul;;Métropole;;2016;Vitrolles;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Vitrolles;13117
201600016556;2016-11-18T14:30:00+01:00;Vitrolles;2016;11;18;14:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;13;117;13117;BEL AIR (RUE);4342588;0526878;13127;;43.425947, 5.268186;;normale;;;;99;0;0;;0;0;Parc de stationnement ouvert à la circulation publique;;Partie rectiligne;Plat;;Sur chaussée;1941,1986,1940;Féminin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01;1,1,2;Conducteur,Conducteur,Passager;;Promenade – loisirs,Promenade – loisirs,Promenade – loisirs;Avant droit,Avant gauche;Tournant A droite,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2016;Vitrolles;13;Bouches-du-Rhône;200054807;Métropole d'Aix-Marseille-Provence;93;Provence-Alpes-Côte d'Azur;Vitrolles;13117
201600016583;2016-02-27T22:00:00+01:00;Saint-hippolyte;2016;02;27;22:00;Nuit sans éclairage public;Hors agglomération;1;Normale;Trois véhicules et plus - collisions multiples;68;296;68296;;4821216;0740195;68590;;48.231218, 7.37101;1;normale;;A chaussées séparées;;00;35;140;;40;2;Autoroute;236;Partie rectiligne;Plat;;Sur bande d’arrêt d’urgence;1970,1972,1961;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Indemne,Blessé;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;C03,A01,B02;1,1,1;Conducteur,Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs,Promenade – loisirs;Avant droit,Avant gauche,Avant gauche;Sans changement de direction,Entre 2 files,Sans changement de direction;PK ou PR ou numéro d’adresse postale décroissant,PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale décroissant;Autre;Autre obstacle fixe sur chaussée,Glissière béton;VL seul,VL seul,VL seul;;Métropole;;2016;Saint-Hippolyte;68;Haut-Rhin;246800577;CC du Pays de Ribeauvillé;44;Alsace-Champagne-Ardenne-Lorraine;Saint-Hippolyte;68296
201600016629;2016-10-31T17:15:00+01:00;Sille-le-guillaume;2016;10;31;17:15;Plein jour;En agglomération;1;Normale;Deux véhicules - frontale;72;334;72334;53 rue de bretagne;;;72140;53;48.182362, -0.137723;;normale;;Bidirectionnelle;;99;304;0;;0;0;Route Départementale;;Partie rectiligne;Pente;;Sur chaussée;1977,1931;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Non déterminable,Non déterminable;;A01,B02;1,1;Conducteur,Conducteur;;Autre;Avant,Avant;Dépassant A gauche,Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;Cyclomoteur <50cm3,VL seul;;Métropole;;2016;Sillé-le-Guillaume;72;Sarthe;247200462;CC du Pays de Sillé;52;Pays de la Loire;Sillé-le-Guillaume;72334
201400009056;2014-08-28T19:30:00+02:00;;2014;08;28;19:30;Plein jour;En agglomération;1;Normale;Deux véhicules – par le coté;20;249;20249;rue casanova d'arraciani;4167130;0890669;;;41.672227, 8.905218;;normale;;A chaussées séparées;;00;;0;;0;0;Voie Communale;;Partie rectiligne;;;Sur chaussée;1948,1948;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Casque;Oui,Oui;;A01,B02;1,1;Conducteur,Conducteur;;Courses – achats;Avant gauche,Côté gauche;Tournant A gauche;;;;VL seul,Scooter > 125 cm3;;Métropole;;2015;;;;;;;;;20249
201400009060;2014-10-01T14:45:00+02:00;;2014;10;01;14:45;Plein jour;Hors agglomération;1;Normale;Trois véhicules et plus - collisions multiples;20;350;20350;;;;;;;129;normale;;Bidirectionnelle;;00;193;68;;0;2;Route Nationale;700;En courbe à gauche;Sommet de côte;;Sur chaussée;1973,1946,1981,1984;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne,Indemne;Ceinture,Ceinture,Ceinture,Ceinture;Non déterminable,Non déterminable,Non déterminable,Non déterminable;;A01,C03,B02;1,1,1,2;Conducteur,Conducteur,Conducteur,Passager;;Utilisation professionnelle,Autre,Utilisation professionnelle,Autre;Côté droit,Avant droit,Avant;Déporté A gauche,Même sens,Sans changement de direction;;Véhicule,Véhicule,Véhicule;;VL seul,VU seul 1,PL seul > 7;;Métropole;;2015;;;;;;;;;20350
201400009203;2014-09-17T09:00:00+02:00;Mareil-sur-mauldre;2014;09;17;09:00;Plein jour;En agglomération;1;Normale;Autre collision;78;368;78368;Rue Christian Pouillard;;;78124;;48.893856, 1.875928;0;normale;;Bidirectionnelle;;00;307;0;;0;2;Route Départementale;0;Partie rectiligne;Pente;;Sur chaussée;1949;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Promenade – loisirs;;Manœuvre d’évitement;;Animal domestique;;Bicyclette;;Métropole;2014-03-01;2015;Mareil-sur-Mauldre;78;Yvelines;200034130;CC Gally Mauldre;11;Île-de-France;Mareil-sur-Mauldre;78368
201400009206;2014-06-06T12:30:00+02:00;Mulcent;2014;06;06;12:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;78;439;78439;;;;78790;;48.87832, 1.651479;34;normale;;Bidirectionnelle;;99;983;98;;0;2;Route Départementale;350;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1920,1970;Masculin,Masculin;Se déplaçant,Se déplaçant;Tué,Blessé;Ceinture,Ceinture;Oui,Oui;;B02,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail;Avant droit,Côté gauche;Sans changement de direction,Tournant A droite;;Véhicule;;VL seul,VL seul;;Métropole;;2015;Mulcent;78;Yvelines;247800550;CC du Pays Houdanais (C.C.P.H.);11;Île-de-France;Mulcent;78439
201400009311;2014-12-30T07:30:00+01:00;Limours;2014;12;30;07:30;Nuit sans éclairage public;Hors agglomération;1;Neige - grêle;Deux véhicules – par l’arrière;91;338;91338;RD988;4865900;0207799;91470;988;48.64489, 2.075609;16;verglacée;;Bidirectionnelle;;99;988;0;;0;2;Route Départementale;500;Partie rectiligne;Sommet de côte;Pont - autopont;Sur chaussée;1971,1983,1987;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B02;2,1,1;Passager,Conducteur,Conducteur;;Domicile – travail,Domicile – travail;Avant,Arrière droit;Sans changement de direction,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2015;Limours;91;Essonne;249100074;CC du Pays de Limours (Ccpl);11;Île-de-France;Limours;91338
201400009335;2014-08-29T03:45:00+02:00;Cherence;2014;08;29;03:45;Nuit sans éclairage public;Hors agglomération;1;Normale;Autre collision;95;157;95157;RD 100;4908390;0169680;95510;100;;12;normale;;Bidirectionnelle;;99;100;;D;;2;Route Départementale;500;Partie rectiligne;Plat;;Sur chaussée;1987,1987;Féminin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Casque,Casque;Oui,Oui;;A01;2,1;Passager,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant;Sans changement de direction;;Animal sauvage;;Motocyclette > 125 cm3;;Métropole;;2015;Chérence;95;Val-d'Oise;249500513;CC du Vexin-Val de Seine;11;Île-de-France;Chérence;95157
201400009360;2014-04-22T09:00:00+02:00;Chaumes-en-brie;2014;04;22;09:00;Plein jour;Hors agglomération;1;Normale;Autre collision;77;107;77107;;;;77390;;48.66726, 2.842478;28;normale;;Bidirectionnelle;;99;402;0;;0;2;Route Départementale;400;En courbe à gauche;Plat;;Sur chaussée;1979;Masculin;Se déplaçant;Blessé;Ceinture;Non;;A01;1;Conducteur;;Utilisation professionnelle;Avant droit;Sans changement de direction;;;Arbre;VU seul 1;;Métropole;;2015;Chaumes-en-Brie;77;Seine-et-Marne;247700719;CC de l'Yerres À l'Ancoeur;11;Île-de-France;Chaumes-en-Brie;77107
201400009409;2014-01-07T18:30:00+01:00;Lumigny-nesles-ormeaux;2014;01;07;18:30;Nuit sans éclairage public;Hors agglomération;1;Pluie légère;Autre collision;77;264;77264;;4825400;0256700;77540;;48.735712, 2.95105;32;mouillée;;Bidirectionnelle;;99;231;70;;0;1;Route Départementale;200;Partie rectiligne;Plat;Carrefour aménagé;Sur accotement;1986;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Domicile – travail;Avant;Manœuvre d’évitement;;Véhicule;Arbre;VL seul;;Métropole;2014-09-01;2015;Lumigny-Nesles-Ormeaux;77;Seine-et-Marne;247700651;CC les Sources de l'Yerres;11;Île-de-France;Lumigny-Nesles-Ormeaux;77264
201400009457;2014-10-09T18:30:00+02:00;Charny;2014;10;09;18:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;77;095;77095;;4896700;0276700;77410;;48.971107, 2.760969;5;normale;;Bidirectionnelle;;00;54;54;;0;2;Route Départementale;600;Partie rectiligne;Plat;;Sur chaussée;1979,1968;Masculin,Féminin;Se déplaçant,Se déplaçant;Tué,Indemne;Casque,Ceinture;Oui,Oui;;B02,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail;Côté gauche,Avant;Tournant A gauche,Dépassant A gauche;;Véhicule,Véhicule;;VL seul,Motocyclette > 125 cm3;;Métropole;;2015;Charny;77;Seine-et-Marne;200033090;CC Plaines et Monts de France;11;Île-de-France;Charny;77095
201400009462;2014-03-23T06:00:00+01:00;Crouy-sur-ourcq;2014;03;23;06:00;Crépuscule ou aube;Hors agglomération;1;Normale;Autre collision;77;148;77148;;4917200;0313800;77840;;49.090013, 3.073927;5;normale;;Bidirectionnelle;;99;94;39;;0;2;Route Départementale;200;En courbe à droite;Plat;;Sur chaussée;1982;Masculin;Se déplaçant;Tué;Ceinture;Non;;A01;1;Conducteur;;Promenade – loisirs;Avant;Déporté A gauche;;;Poteau;VL seul;;Métropole;;2015;Crouy-sur-Ourcq;77;Seine-et-Marne;247700065;CC du Pays de l'Ourcq;11;Île-de-France;Crouy-sur-Ourcq;77148
201400009485;2014-08-11T11:30:00+02:00;Courtacon;2014;08;11;11:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules - frontale;77;137;77137;;4869200;0327500;77560;;48.694893, 3.290756;54;normale;;Bidirectionnelle;;00;4;78;;0;2;Route Nationale;794;Partie rectiligne;Pente;;Sur chaussée;1995,1995,1994,1995,1995,1977;Masculin,Masculin,Masculin,Féminin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Indemne,Indemne,Indemne,Indemne;Ceinture,Ceinture,Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui,Oui,Oui;;A01,B02;2,3,5,4,1,1;Passager,Passager,Passager,Passager,Conducteur,Conducteur;;Promenade – loisirs;Avant,Avant;Déporté A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2015;Courtacon;77;Seine-et-Marne;200037133;CC du Provinois;11;Île-de-France;Courtacon;77137
201400009505;2014-03-13T14:00:00+01:00;Marigny-les-usages;2014;03;13;14:00;Plein jour;En agglomération;3;Normale;Autre collision;45;197;45197;R ROUSSELIERE/FOUR A CHA;4796211;0202219;45760;;47.959709, 2.030497;0;normale;;Bidirectionnelle;;99;0;50;;0;2;Voie Communale;0;Partie rectiligne;Plat;;Sur trottoir;1966;Masculin;Se déplaçant;Blessé;Casque;Oui;;A01;1;Conducteur;;Utilisation professionnelle;Avant;Sans changement de direction;;;Bâtiment;Quad lourd > 50 cm3 (Quadricycle à moteur non carrossé);;Métropole;2014-05-01;2015;Marigny-les-Usages;45;Loiret;244500468;CA Orléans Val de Loire (Agglo);24;Centre;Marigny-les-Usages;45197
201400009543;2014-06-17T11:00:00+02:00;Gien;2014;06;17;11:00;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;45;155;45155;LES ROIS;4768742;0266503;45500;;47.686001, 2.672198;2;normale;;Bidirectionnelle;;99;122;70;;0;2;Route Départementale;730;Partie rectiligne;Plat;;Sur chaussée;2014,1969,1985;Masculin,Masculin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Tué,Indemne,Blessé;Dispositif enfants,Ceinture,Ceinture;Oui,Oui,Oui;;B02,A01;2,1,1;Passager,Conducteur,Conducteur;;Utilisation professionnelle,Autre;Côté gauche,Avant;Sans changement de direction,Déporté A gauche;;Véhicule;;VL seul,Tracteur routier + semi-remorque;;Métropole;;2015;Gien;45;Loiret;244500211;CC Giennoises;24;Centre;Gien;45155
201400009581;2014-06-17T16:30:00+02:00;Courtemaux;2014;06;17;16:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules - frontale;45;113;45113;;4802478;0292941;45320;;48.050163, 2.934236;12;normale;;Bidirectionnelle;;99;2060;70;;0;2;Route Départementale;875;Partie rectiligne;Plat;;Sur chaussée;1940,1967,1941;Masculin,Féminin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;B02,A01;2,1,1;Passager,Conducteur,Conducteur;;Domicile – travail,Promenade – loisirs;Avant gauche,Avant gauche;Déporté A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2015;Courtemaux;45;Loiret;200030559;CC du Betz et de la Cléry;24;Centre;Courtemaux;45113
201400009630;2014-11-04T13:15:00+01:00;Quantilly;2014;11;04;13:15;Plein jour;Hors agglomération;1;Temps couvert;Deux véhicules - frontale;18;189;18189;;4723764;0245451;18110;;47.223469, 2.44497;0;mouillée;;Bidirectionnelle;;99;0;42;;0;2;Voie Communale;0;Partie rectiligne;Plat;;Sur chaussée;1967,1970,2005,1996;Masculin,Féminin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Non;;B02,A01;1,1,5,2;Conducteur,Conducteur,Passager,Passager;;Utilisation professionnelle,Utilisation professionnelle;Avant gauche,Avant gauche;Sans changement de direction,Déporté A gauche;;Véhicule,Véhicule;;PL > 3,VL seul;;Métropole;;2015;Quantilly;18;Cher;241800234;CC en Terres Vives;24;Centre;Quantilly;18189
201400009689;2014-04-08T18:45:00+02:00;La Chapelle-du-noyer;2014;04;08;18:45;Plein jour;Hors agglomération;8;Normale;Deux véhicules – par le coté;28;075;28075;;4805561;0133665;28200;;48.056992, 1.312609;0;normale;;Bidirectionnelle;;00;924;73;;0;2;Route Départementale;880;En « S »;Plat;Voie ferrée;Sur chaussée;1974,1994,1995;Féminin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B02;1,2,1;Conducteur,Passager,Conducteur;;Domicile – travail,Promenade – loisirs;Côté droit,Avant;Déporté A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2015;La Chapelle-du-Noyer;28;Eure-et-Loir;242852598;CC du Dunois;24;Centre;La Chapelle-du-Noyer;28075
201400009778;2014-08-18T11:00:00+02:00;Chabris;2014;08;18;11:00;Plein jour;En agglomération;1;Normale;Autre collision;36;034;36034;1 RUE JEAN JAURES;4688670;0141613;36210;1;47.254378, 1.65367;0;normale;;;;99;1;59;;62;2;Route Départementale;0;Partie rectiligne;Plat;;Sur chaussée;1950,1964;Féminin,Féminin;Traversant,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur passage piéton - Avec signalisation lumineuse;A01;1;Piéton,Conducteur;Seul;Autre,Courses – achats;Avant droit;Sans changement de direction;;Piéton;;VU seul 1;;Métropole;;2015;Chabris;36;Indre;243600202;CC Chabris - Pays de Bazelle;24;Centre;Chabris;36034
201400009888;2014-06-20T21:15:00+02:00;Avon-les-roches;2014;06;20;21:15;Plein jour;Hors agglomération;1;Normale;Deux véhicules - frontale;37;012;37012;LE MARCHAIS BLANC;;;37220;;47.194665, 0.428574;6;normale;;Bidirectionnelle;;99;757;63;;0;2;Route Départementale;700;En courbe à gauche;Pente;;Sur chaussée;1978,1960;Féminin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;B02,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs;Avant,Avant droit;Sans changement de direction,Déporté A gauche;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2015;Avon-les-Roches;37;Indre-et-Loire;243700911;CC du Bouchardais;24;Centre;Avon-les-Roches;37012
201400009909;2014-09-27T21:15:00+02:00;Bossay-sur-claise;2014;09;27;21:15;Nuit sans éclairage public;Hors agglomération;1;Normale;Sans collision;37;028;37028;LA COUTURE;;;37290;;46.840437, 0.954712;55;normale;;Bidirectionnelle;;00;50;0;;0;2;Route Départementale;900;En courbe à gauche;Plat;;Sur chaussée;1964;Féminin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Promenade – loisirs;Chocs multiples (tonneaux);Sans changement de direction;;;;VL seul;;Métropole;2014-09-01;2015;Bossay-sur-Claise;37;Indre-et-Loire;243700812;CC de la Touraine du Sud;24;Centre;Bossay-sur-Claise;37028
201400009920;2014-09-06T05:15:00+02:00;Saint-branchs;2014;09;06;05:15;Nuit sans éclairage public;Hors agglomération;1;Brouillard - fumée;Autre collision;37;211;37211;CARREFOURBESNERIE/COTEAU;;;37320;;47.243717, 0.750167;0;normale;;Bidirectionnelle;;00;0;40;;0;0;Voie Communale;0;;Pente;;Sur accotement;1996,1993,1991,1996;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;A01;2,1,3,4;Passager,Conducteur,Passager,Passager;;Autre;Avant;Sans changement de direction;;;Fossé;VL seul;;Métropole;;2015;Saint-Branchs;37;Indre-et-Loire;243700804;CC du Val de l'Indre;24;Centre;Saint-Branchs;37211
201400010016;2014-02-22T14:21:00+01:00;Antibes;2014;02;22;14:21;Plein jour;En agglomération;4;Normale;Deux véhicules – par le coté;06;004;06004;ROCHAT AV.PHILIPPE;;;06600;;43.58692, 7.111261;;normale;;Bidirectionnelle;;99;35;30;;30;2;Route Départementale;;Partie rectiligne;Plat;;Sur chaussée;1957,1982;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Autre;Arrière gauche,Avant;Tournant A gauche,Même sens;;;;VL seul,Motocyclette > 125 cm3;;;;2015;Antibes;06;Alpes-Maritimes;240600585;CA de Sophia Antipolis;93;Provence-Alpes-Côte d'Azur;Antibes;06004
201400010032;2014-04-03T20:25:00+02:00;Antibes;2014;04;03;20:25;Nuit sans éclairage public;En agglomération;3;Temps couvert;Deux véhicules – par le coté;06;004;06004;1890, TERRIERS ALLEE- CH;;;06600;1890;43.601796, 7.081756;;normale;;;;00;0;92;;92;0;Parc de stationnement ouvert à la circulation publique;;;Sommet de côte;;;1996,1994,1997;Masculin,Féminin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Blessé;Casque,Ceinture,Casque;Non déterminable,Non déterminable,Oui;;B01,A01;1,1,2;Conducteur,Conducteur,Passager;;Promenade – loisirs,Domicile – travail;Avant droit,Côté droit;En s’insérant,Même sens;;Véhicule,Véhicule;;VL seul,Cyclomoteur <50cm3;;;;2015;Antibes;06;Alpes-Maritimes;240600585;CA de Sophia Antipolis;93;Provence-Alpes-Côte d'Azur;Antibes;06004
201400010073;2014-08-09T03:45:00+02:00;Vallauris;2014;08;09;03:45;Nuit avec éclairage public allumé;En agglomération;1;Normale;Sans collision;06;155;06155;212, LIBERTE AV.DE LA;;;06220;212;43.571551, 7.08353;;normale;;Bidirectionnelle;;00;6007;70;;0;2;Route Départementale;;Partie rectiligne;Plat;;Sur trottoir;1994,1996,1990,1994;Féminin,Féminin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé,Blessé;Autre,Autre,Autre,Autre;Non déterminable,Non déterminable,Non déterminable,Non déterminable;;A01;4,5,1,3;Passager,Passager,Conducteur,Passager;;;Avant;;;;Autre obstacle fixe sur trottoir ou accotement;VL seul;;;;2015;Vallauris;06;Alpes-Maritimes;240600585;CA de Sophia Antipolis;93;Provence-Alpes-Côte d'Azur;Vallauris;06155
201400010091;2014-08-24T00:09:00+02:00;Antibes;2014;08;24;00:09;Nuit avec éclairage public allumé;En agglomération;1;Normale;Deux véhicules – par le coté;06;004;06004;1000, SAINT CLAUDE CH.DE;;;06600;1000;43.598549, 7.101899;;normale;;Bidirectionnelle;;00;0;0;;0;1;Voie Communale;;;;;Sur chaussée;1982,1997;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;;;;;;VL seul,Cyclomoteur <50cm3;;;;2015;Antibes;06;Alpes-Maritimes;240600585;CA de Sophia Antipolis;93;Provence-Alpes-Côte d'Azur;Antibes;06004
